User_name,User_Title,User_Review,User_Helpful,User_Date,User_Location,User_Stars
Airborne,Stephen Fry > Jim Dale,Jim Dale's character voices were no where near as good as Stephen Fry's and I immediately went online to find the older audio books.,31,13 de junio de 2021,Estados Unidos,1
kimbacaffeinate,Dale does a wonderful job bringing these characters to life,"t was wonderful revisiting this story. The last time I did a reread was when I bought the illustrated edition and of course, it all started with me looking at the beautiful illustrations and the next thing you know I was lost to this world. Honestly, it never gets old.
Rowling’s writing is marvelous from pacing to her ability to express the character’s emotions. I know there are folks who have not yet read the series (gasps). I, of course, cannot recommend them enough regardless of format. The movies are brilliant, but only scratch the surface of what the books and audios have to offer. If you love Harry Potter but have never tried audio, this is the perfect time to listen.",34,20 de julio de 2017,Estados Unidos,5
wayne t.,Delightful,Excellent story and the narrator made it even better. I have avoided these books because I thought they were too young for me but I truly enjoyed this! Will definitely listen to more!,11,29 de octubre de 2019,Estados Unidos,5
Karen Compton,Loved,"I loved listening to this book! I read the series years ago and have seen the movies, but listening brings them to life again😄 I just wish the series was included in my kindle unlimited membership. The other books are way to expensive to listen to, so this will be my only one I’m afraid. I still loved listening to Book 1!",8,1 de enero de 2020,Estados Unidos,5
Gregorus S. Davis,"Overall the narrator does a good job, although his voice for Hermione is pretty ...","I purchased it for a road trip and it kept the kids entertained the entire time, even though they've read the book before. Overall the narrator does a good job, although his voice for Hermione is pretty whiny. It got grating very quickly and if the kids hadn't wanted to finish listening I probably wouldn't have made it all the way through. I've heard he does a better job in the subsequent books.",9,17 de junio de 2018,Estados Unidos,3
Juss B,I finally decided to read them but felt better about the audiobook,"My wife is the big fan of series.
I finally decided to read them but felt better about the audiobook.
I have watched movie couple of times over years and feel although the movie is well made and mostly true to book but are no match.
Book does excellent job building excitement around new and magical things before revealing them.
Characters are very well defined and a lot of extra stuff in books if you are like me and have just watched movies.",6,30 de marzo de 2018,Estados Unidos,5
DanCraChe,Great,I watched movie 🎥 but never read the book. This is a great audiobook. Hopefully there’s whole series,3,26 de noviembre de 2020,Estados Unidos,5
trisha Carpenter,Awesome,"Best series ever, there's one guy who does narrating he is very good.",2,4 de septiembre de 2021,Estados Unidos,5
Katherine masterson,It’s a yes for me!,We opted for this in audible for my 6 year old son to listen to at bedtime! It’s wonderful he loves it and it keeps his attention and calms him down before bed.,,4 de noviembre de 2020,Estados Unidos,5
Jessica Long,Perfect for commutes!,Great book to listen to on long trips. I’ve also read them a few times but the voices Jim uses are all amazing and very engaging with the story.,3,1 de julio de 2019,Estados Unidos,5
Amazon Customer,Narration leaves you wanting more,"The book, of course, is good. Most people know what they're getting into when they start their journey into the World of Witchcraft & Wizardry. That being said, the narration is less than admirable.
There's very little emotion and fluctuation in his voice. ""Dursleys!"", Hagrid said in a BOOM. A BOOM, not a monotone drawl that sounds like a boy whispering so they don't wake someone nearby.
I'm satisfied with the speed of the narration. Enunciation is good, but there are several instances that leave me wanting more.",2,28 de marzo de 2018,Estados Unidos,3
chris cunningham,Love Harry Potter!!!,"I listened to Harry Potter book 1 & 2 and I am now listening to book 3. I have enjoyed them very much. I have read them before, years ago and I am now reliving all the fun those books were to listen to. Thank you very much.",4,29 de octubre de 2018,Estados Unidos,5
Caroline Kelly,Harry potter,Harry Potter is one of the best series. Love the narration and the stories.,,22 de noviembre de 2019,Estados Unidos,5
KRM,Audible Version Perfect & Awesome,This is an Audible version I'm reviewing and it was awesome! If there was anything different from the American versions of the books I didn't notice nor did I care. It's a truly loved story and the narration was excellent.,,18 de marzo de 2018,Estados Unidos,5
Tammy Weis,Love,Love the ENTIRE series!!,,27 de marzo de 2021,Estados Unidos,5
Tiffany,Great read aloud,Perfect for listening in the classroom.,,29 de febrero de 2020,Estados Unidos,5
Jerzyte,Excellent Book - Excellent Reader,"Of course the book was great, but also the reader did an outstanding job animating the voices of the characters.",,3 de enero de 2019,Estados Unidos,5
Hazel,Enjoyable for whole family,"Love audiobooks because the whole family can ""read along"" at the same time in the living room. Currently listening with 2 teenagers and a 9-year old- everyone is enjoying the book and looking forward to the future volumes.",,23 de marzo de 2018,Estados Unidos,5
Stampin Frau,Fantastic narration,"My kids and I listened to this audiobook. Not only is the story captivating, but the narrator is absolutely amazing changing voices for every character that sound authentic and make the story come alive.",,17 de enero de 2020,Estados Unidos,5
Sarah A. Minnis,These audiobooks are amazing! Jim Dale is our favorite narrator,These audiobooks are amazing! Jim Dale is our favorite narrator. He does a unique voice for each of the many characters and performs them consistently throughout the entire series. Incredible performance!,,12 de marzo de 2018,Estados Unidos,5
Airborne,Stephen Fry > Jim Dale,Jim Dale's character voices were no where near as good as Stephen Fry's and I immediately went online to find the older audio books.,31,13 de junio de 2021,Estados Unidos,1
kimbacaffeinate,Dale does a wonderful job bringing these characters to life,"t was wonderful revisiting this story. The last time I did a reread was when I bought the illustrated edition and of course, it all started with me looking at the beautiful illustrations and the next thing you know I was lost to this world. Honestly, it never gets old.
Rowling’s writing is marvelous from pacing to her ability to express the character’s emotions. I know there are folks who have not yet read the series (gasps). I, of course, cannot recommend them enough regardless of format. The movies are brilliant, but only scratch the surface of what the books and audios have to offer. If you love Harry Potter but have never tried audio, this is the perfect time to listen.",34,20 de julio de 2017,Estados Unidos,5
wayne t.,Delightful,Excellent story and the narrator made it even better. I have avoided these books because I thought they were too young for me but I truly enjoyed this! Will definitely listen to more!,11,29 de octubre de 2019,Estados Unidos,5
Karen Compton,Loved,"I loved listening to this book! I read the series years ago and have seen the movies, but listening brings them to life again😄 I just wish the series was included in my kindle unlimited membership. The other books are way to expensive to listen to, so this will be my only one I’m afraid. I still loved listening to Book 1!",8,1 de enero de 2020,Estados Unidos,5
Gregorus S. Davis,"Overall the narrator does a good job, although his voice for Hermione is pretty ...","I purchased it for a road trip and it kept the kids entertained the entire time, even though they've read the book before. Overall the narrator does a good job, although his voice for Hermione is pretty whiny. It got grating very quickly and if the kids hadn't wanted to finish listening I probably wouldn't have made it all the way through. I've heard he does a better job in the subsequent books.",9,17 de junio de 2018,Estados Unidos,3
Juss B,I finally decided to read them but felt better about the audiobook,"My wife is the big fan of series.
I finally decided to read them but felt better about the audiobook.
I have watched movie couple of times over years and feel although the movie is well made and mostly true to book but are no match.
Book does excellent job building excitement around new and magical things before revealing them.
Characters are very well defined and a lot of extra stuff in books if you are like me and have just watched movies.",6,30 de marzo de 2018,Estados Unidos,5
DanCraChe,Great,I watched movie 🎥 but never read the book. This is a great audiobook. Hopefully there’s whole series,3,26 de noviembre de 2020,Estados Unidos,5
trisha Carpenter,Awesome,"Best series ever, there's one guy who does narrating he is very good.",2,4 de septiembre de 2021,Estados Unidos,5
Katherine masterson,It’s a yes for me!,We opted for this in audible for my 6 year old son to listen to at bedtime! It’s wonderful he loves it and it keeps his attention and calms him down before bed.,,4 de noviembre de 2020,Estados Unidos,5
Jessica Long,Perfect for commutes!,Great book to listen to on long trips. I’ve also read them a few times but the voices Jim uses are all amazing and very engaging with the story.,3,1 de julio de 2019,Estados Unidos,5
Amazon Customer,Five Stars,I've read the books but now can listen while driving. Makes trips fly by.,,7 de febrero de 2018,Estados Unidos,5
NewRetirement,but of course the book is great. This audio version is good,Too expensive in my opinion... but of course the book is great. This audio version is good...,,2 de abril de 2018,Estados Unidos,4
Barry Bailey,If you a Potter fan give this a listen,Love Harry Potter. Great story and the narrator was great.,,24 de marzo de 2018,Estados Unidos,5
Tessa Gerhart-Ball,Good Quality,Good Quality,,4 de noviembre de 2019,Estados Unidos,5
Maria Langella Sorgie,Great Audio,Jim Dale is amazing! One of the best sudiobooks i have heard!,,27 de marzo de 2018,Estados Unidos,5
Gary Lutz,Love it !,Works well on Echo....Very Pleased,,14 de febrero de 2018,Estados Unidos,5
Angeles christanova,Five Stars,childhood memories,,12 de abril de 2018,Estados Unidos,5
Shelly S,Five Stars,Amazing 😍,,13 de marzo de 2018,Estados Unidos,5
Rick Thomas,good listen,I know the story but it's great hearing it again.,,13 de marzo de 2018,Estados Unidos,5
alan patke,Five Stars,Jim does a fantastic job narrating. Addicted already,,11 de marzo de 2018,Estados Unidos,5
Alex,Five Stars,My kids are LOVING this!,,9 de febrero de 2018,Estados Unidos,5
Heather S.,He is amazing,Jim Dale is amazing! His voices are so fantastic that you won't want to get out of the car!,,3 de julio de 2019,Estados Unidos,5
asM,Superlative reading,What a rock star that Jim Dale is!,,3 de noviembre de 2017,Estados Unidos,5
Lfake,Great audio book!,Jim Dale is a great narrator with all the different character voices.,,27 de octubre de 2018,Estados Unidos,5
ctrudie,Five Stars,I’ve read the book and really like the audio.,,30 de octubre de 2017,Estados Unidos,5
Marcia,Five Stars,This is a great book to listen to while I quilt. I absolutely love the narrator’s voice!!,,19 de febrero de 2018,Estados Unidos,5
Joe M.,Stuff,Sweet,,18 de enero de 2019,Estados Unidos,5
Ankur,My first audio book. Its amazing..!!,It's an amazing book. The audio is very nice and the explanation is very beautiful.,,12 de marzo de 2018,Estados Unidos,5
Heidi Shuler,Five Stars,Loved. Excellent different character voices!!,,12 de marzo de 2018,Estados Unidos,5
kris,Five Stars,Great book!!,,21 de marzo de 2018,Estados Unidos,5
Living in the sticks,Great weekend distraction,"I have wanted to read these books for many years. What a treat to have it read to me. The narrator, Jim Dale, is fabulous. There is so much character in his voice. And of course, the story is great or there wouldn't have been many other books and movies made.",,19 de diciembre de 2017,Estados Unidos,5
Edgar A,Five Stars,Very Nice,,25 de octubre de 2017,Estados Unidos,5
AMarie,Five Stars,This book is amazing.,,7 de noviembre de 2017,Estados Unidos,5
Nicole Benjamin,Five Stars,Great audio book!,,3 de noviembre de 2017,Estados Unidos,5
Amazon Customer,Five Stars,"I love this book, classic!",,14 de agosto de 2017,Estados Unidos,5
Amazon Customer,but I enjoyed it so much,"I was hoping to spread this out to a couple of weeks, but I enjoyed it so much, I listened to it in a few days. Jim Dale does such a wonderful job narrating. His voice is soothing and easy to listen to and I love the voices he does for each character. I've read the books myself a dozen times, but it's nice to be able to listen while doing something else.",,16 de octubre de 2017,Estados Unidos,5
William Dobbs,Five Stars,Way better then the movies,,7 de septiembre de 2017,Estados Unidos,5
Anila Patel,Five stars!,Loveeeeeee,,17 de agosto de 2017,Estados Unidos,5
mommytime365,Perfect for a Family Road Trip,"We went on a 3 day road trip, and the whole family enjoyed this. When given a choice over music and or Harry Potter they all chose to hear this book! Jim Dale is a wonderful narrator, very captivating.",,3 de enero de 2018,Estados Unidos,5
Axl Wolfe,Five Stars,I love this book,,5 de septiembre de 2017,Estados Unidos,5
Eric,Jim Dale is an awesome narrator and even does the voices incredibly well,"Jim Dale is an awesome narrator and even does the voices incredibly well.
I love this book and cannot wait to download the remainder of the series.",,11 de enero de 2018,Estados Unidos,5
Lindsay D,I never got into these series but thought I'd give ...,"I never got into these series but thought I'd give the audiobook a try. The narrator is perfection and I am now hooked,",,5 de diciembre de 2017,Estados Unidos,5
Caroline,Fun.,I'm listening to the audible right now. It's great!,,15 de noviembre de 2017,Estados Unidos,4
Sofie Uhlending,Best audiobook series ever.,"Who doesn't like HP. Plus its narrated by Doyle, who is the literal voice of Harry Potter. He reads it so smoothly and with so many amazing voices that you can really immerse yourself in the book. This is a shorter one but its great for car rides or cleaning your house.",,28 de noviembre de 2017,Estados Unidos,5
Allison D.,Being able to listen to a favorite book while working on projects or traveling is so ...,Being able to listen to a favorite book while working on projects or traveling is so convenient. Harry Potter is one of my favorite series to listen to.,,6 de septiembre de 2017,Estados Unidos,5
Andrea K. Crosnier,"Even better, he's done every single Harry Potter book","if you've never heard Jim Dale read Harry Potter, you're in for a treat! Even better, he's done every single Harry Potter book, so the whole series is consistent. For us, the very best audible book experience available.",,13 de octubre de 2017,Estados Unidos,5
Kathy Cook,Five Stars,Love this book!!,,15 de octubre de 2017,Estados Unidos,5
Rachel Flint,I mean... it's just utterly fabulous. ...,I mean... it's just utterly fabulous. I can't believe how long I waited to finally experience the magical world of Harry Potter.,,5 de diciembre de 2017,Estados Unidos,5
Amazon Customer,Best!,"This is the best ever series of audio books. It is a new and exciting way to experience Harry Potter. The narrator, Jim Dale, brings the story to life in a remarkably thrilling manner.",,1 de enero de 2018,Estados Unidos,5
Mandy A. Carvin,Five Stars,Love this so much! The narrator is perfect,,11 de enero de 2018,Estados Unidos,5
Katie,Good,Great book,,5 de octubre de 2017,Estados Unidos,5
Robin Armstrong,Five Stars,Excellent story and beautifully performed.,,6 de octubre de 2017,Estados Unidos,5
Judy Mumford,This has the most excellent narrator. We were totally captivated through the whole ...,This has the most excellent narrator. We were totally captivated through the whole book by the voices he did for each character.,,18 de agosto de 2017,Estados Unidos,5
Joseph Burgo,Five Stars,Jim Dale is brilliant!,,29 de septiembre de 2017,Estados Unidos,5
J. Howie,KindleEbook and Audible versions do not sync.,"I of course love the books themselves, but I just spent a lot of money and don't feel I got what I paid for. The audible doesn't sync up with the Kindle ebook as most others do. My kids read the Kindle version while the audible version plays and it helps with their reading skills. With the price of these versions I would expect that to be a feature. Every other children's book I have purchased has that capability. I called and asked and the people at Amazon weren't very clear on when if ever this feature would be added. Strange. If your kids like to do as mine and read along with the narrator then this version isn't for you. Also I agree with some other reviewers. I wish we had the option of buying the English version. It sounds as if it would have been better.",4,19 de enero de 2016,Estados Unidos,2
Adan O,Five Stars,Good stuff.,,19 de enero de 2018,Estados Unidos,5
Amazon Customer,Five Stars,It’s amazing and Martin feeling left out in the movie got a love the book,,30 de noviembre de 2017,Estados Unidos,5
codingmtnbiker,Five Stars,Wonderful auditory rendition of Harry Potter.,,14 de septiembre de 2017,Estados Unidos,5
Kiza,Five Stars,⭐️⭐️⭐️⭐️⭐️⭐️,,2 de diciembre de 2017,Estados Unidos,5
Bp14tigers,Five Stars,Loce all Harry Potter!!!!,,12 de septiembre de 2017,Estados Unidos,5
Kevin D Danielson,Five Stars,Great book had it on cd. So much nicer to not to change cds,,7 de diciembre de 2017,Estados Unidos,5
Amazon Customer,Five Stars,Great audiobook,,11 de septiembre de 2017,Estados Unidos,5
Missmoji,Five Stars,very great book,,13 de noviembre de 2017,Estados Unidos,5
thomas barbarino,I love every read and listen as much as the first,"A huge piece of my childhood, I love every read and listen as much as the first!!!",,25 de enero de 2018,Estados Unidos,5
Michelle McParland,Five Stars,It was awesome!! Jim Dale’s narrating was incredible!,,13 de diciembre de 2017,Estados Unidos,5
Christopher Lacher,Five Stars,Nicely done.,,23 de agosto de 2017,Estados Unidos,5
BRENDA CLOSE,Five Stars,Excellent!,,9 de diciembre de 2017,Estados Unidos,5
Sara,Five Stars,Loved it!,,28 de enero de 2018,Estados Unidos,5
Julie,Five Stars,Amazing!,,1 de diciembre de 2017,Estados Unidos,5
James Cooper,Why doesn't it have Whisper Sync?,"The book is obviously great. Jim Dale is obviously great. But why in the heck doesn't this book support Whisper Sync... Pottermore and Amazon have been working together a long time. This is basically the most popular series of all time, I cant figure our why they wouldn't supper whisper sync.",2,15 de febrero de 2017,Estados Unidos,2
Joyelle Gilliam,He does a terrible job reading and talk slow every time someone says ...,He does a terrible job reading and talk slow every time someone says something insulting and drawls too much. I like the movie and if he saw it then he should mimick their emotions from the movie not his own interpretation or wherever he’s getting these ideas from,,8 de diciembre de 2017,Estados Unidos,1
MicasReads,The beginning of an amazing story,"Harry Potter was left on his aunt's doorstep when he was a baby and was treated poorly but never understood why. Fast forward to Harry's 11th birthday and he begins to receive odd-looking letters that his uncle gets rid of. When he takes the family away to get away from the onslaught of letters, they are surprised when a giant named Hagrid comes knocking. Hagrid introduces Harry to his true home - Hogwarts. While at Hogwarts Harry learns the story behind his parents' untimely death as well as the scar on his forehead. Harry also comes face to face with the man who tried to kill him - Lord Voldemort. This becomes the first of many encounters between Harry and his sworn enemy.
I have read this book many times but this was my first time listening to a narrator tell the story and I found it very enjoyable. Any adventure into Hogwarts is worth it to me. I know that there are many issues with supporting J.K. Rowling due to her transphobic post but please note this audiobook was borrowed from the library and not purchased so as not to add to her wealth.",,2 de marzo de 2022,Estados Unidos,4
darswords,,,,,,
Cory E.,For all ages...,"As I am in my late 40's, I seriously didn't think I was going to like reading the HP series. I initially thought I was too old for the series and that it wouldn't interest me in the slightest. Boy, was I wrong! The HP series is one of the best series I've ever read in my life. I'd put it right up there with James Herriott's All Creatures series, Frank Hebert's Dune series, Jan Karon's Mitford series, or George R.R. Martin's GOT series. YES, I'm aware that the series I just rattled off are all distinctly different, but that's kind of my point... each series has its' own individual style/flavor/flair, but they are ALL enjoyable series for one reason or another and in one way or another.
If you somehow think you're too old to read Harry Potter, I SERIOUSLY urge you to reconsider. I honestly do not think this series has any sort of ""age limit"".",,31 de agosto de 2020,Estados Unidos,5
Alan Montgomery,Wonderful listening,"In some audio books, I find the volume goes in and out. In a car, that doesn't work. Here, Jim Dale does a very good job reading the first book. *I have heard volume 2, also, but it will take a while to get through the whole series.) In some cases Jim Dale's adult male voice doesn't quite reach the characters - Hermione or Petunia. But Vernon sounds remarkably like the movie. His Snape is different than Alan Rickman, but compelling anyhow. His pacing is natural and yet not overly hurried. My quibble is that, in some of the chapters, they could have included the end of the chapter on one cd, but put the ending on the next. This is true from CD1 into CD2, and 2 into CD3. Each CD in the first two volumes holds about 70-74 minutes. I'm enjoying listening a great deal. Although I just purchased the CDs, the covers are the original artwork, not the new ones shown.",,19 de octubre de 2019,Estados Unidos,5
Big Ox,English would have been nice.. wasted time,"I don't speak French. With my bad eyes, I didn't see that the books were in French. Why would they even be listed as the first ones on the list since this is the U.S. where we mostly speak English or Spanish? Why waste my time and the ""free"" offer with books in a language I don't understand. Colossal waste of my time. Thanks for NOTHING!!",2,16 de julio de 2020,Estados Unidos,1
Richard Dana,Best series in Audible,"Let me begin by saying that I consider myself to be a old time scientist I in my mid 60’s I initially read the Harry Potter series when it first came out. When I heard about this series, I decided, since I had Audible, to try it.
WOW!
The gentleman performing the series ( and he is a trained actor), is nothing less than amazing. Some of his boices are nearly identical to the actors in the movies. When the day is just too hard, and I need a break- this series is what I turn to. It reminds me of my childhood again. Very highly recommended.",,14 de diciembre de 2020,Estados Unidos,5
iiiireader,,,,,,
ZuzuLily,The Narrator is Excellent!,"I am not through the book yet, but have seen the movies. I was hesitant about the books. However, this is the way to go! I just love the narrator. He is so expressive and has different tones with different people. Just so enjoyable. I have intended upon going through all of the Harry Potter books and am hoping the same narrator is with all of them! I put them on to go to sleep with Audible but find they are so fascinating I can't go to sleep. Oh, well! I am having a great time with it all. Please don't hesitate to purchase this audio book. You will just love it!",,5 de abril de 2021,Estados Unidos,5
'chelle,"A Magical Tale, Beautifully Narrated","At first I was disappointed to learn that the UK version was read by Stephen Fry, but the US version was by Jim Dale. As much as I love Mr. Fry, I am disappointed no longer. Mr. Dale performs this book so well that I find myself loving the audio even more than the print version.
There's nothing more I can say about Harry Potter. After all, we're talking about possibly the most well known story in the world. It's a magnificent fantasy tale. I wished I'd been able to grow up with it as a generation of fortunate children did. The audio is fabulous.",,7 de diciembre de 2019,Estados Unidos,4
Amazon Customer,A Good But Shallow Story,"What is left to say about this book? Since its initial printing in 1998, with 120 million copies purchased, it has become the greatest selling book of all time. Sparking a franchise that saw heights of popularity never dreamed of by other authors. Even if you have not read a page of the books, you have very likely seen at least one of the movies that was spawned from them, as evidenced by the fact that the eight films themselves made over $7 billion worldwide. All of this served to make Harry Potter creator JK Rowling worth $1 billion.
But what of Sorcerer’s Stone itself? It’s a very straightforward, simple story, about an 11 year old boy getting to go to wizard school and having adventures. Unlike other fantasy writers like JRR Tolkien, CS Lewis and Robert Heinlein, Rowling doesn’t spend too many pages describing Hogwarts or Diagon Alley so the world is not that large. For someone like me who wanted to see some world building, this was a little disappointing. But I am a man in his 30s who likes long books, with complex characters, storylines and conflicts that are often morally ambiguous. Obviously not Rowling’s intended audience.
For a child just starting to develop their imagination, this would be a fun and fairly quick read. Characters, while lacking depth, do serve their purpose by being likeable or unlikeable as Rowling intends and she does manage to wrap a coming-of-age tale into a kind of cat and mouse story, where Harry has to discover who the villain is before it's too late. Now that I have just finished the book, the red herring around the major plot arc seems a little too obvious and only works if you literally know nothing else about the series. The climax also felt a bit rushed, as if Rowling just wanted to be done. But again, for someone just looking for a fun story, the final reveal should be surprising and the ending satisfying.
Overall, this is a very easy book to get into and while I personally wish there was more character depth and more descriptions of the world, I ultimately think the Sorcerer’s Stone is meant to be a prelude for larger things to come, rather than trying to be a truly great standalone story.",,27 de junio de 2021,Estados Unidos,4
isabelita fordham,The Best,"Jim Dale is an excellent reader. The only problem with this reading He did it before the release of the movie and didn't have the voices down. The proceeding books He gets it prefect. He uses the Richard Harris Dumbledore in all the books and his Mcgonagall voice is perfect and well a Snape. I am and old man but enjoyed the books a lot. JK Rowling was worried that she didn't do a good job in the Deathly Hallows. Well it was an excellent final book. I only wish the Movie used her final battle with Voldemort it was much better then the Movie. But I don't think they could have found a better trio of kids to play the parts. Daniel Radcliffe , Emma Watson and Rupert Grint were amazing. I guess I'm off topic. This audio book is great check it out....",,3 de diciembre de 2019,Estados Unidos,5
Leona,I'm No Longer a Muggle!,"There was a time when I thought that Harry Potter and the Sorcerer’s Stone, and the rest of the series, would be something I’d never want to read, but after deciding that I didn’t want to miss one of the greatest books/series of my generation I picked it up. Since I’m sure this book has been reviewed within an inch of it’s life, I’ll be brief in my thoughts.
After hearing that the movies, I’ve watched them all, are nothing like the books, I didn’t know what to expect with Harry Potter and the Sorcerer’s Stone. Despite the fact that after finishing this, the first book, I realized the movie was a great adaptation. I can’t help but admit that I ended up loving the book more than the movie, something I never banked on.
While debating on how I was going to jump into this series I ran across the audiobooks that Audible practically shoved in my face every time I would visit the site. Listening to that five minute sample of Harry Potter and the Sorcerer’s Stone sold me, I never had a chance, lol.
The characterization Jim Dale portrayed throughout the audiobook, made Harry Potter and the Sorcerer’s Stone pop better than I ever thought the story could. Better than the actors in the movie!
Since I have acquired the next four books in physical form I am still hesitant to read them. Maybe I’ll pick up the audio for Harry Potter and the Chamber of Secrets and slowly begin to read the pages while I’m not on the go and have a moment to read.",,3 de abril de 2016,Estados Unidos,5
Bewitched Reader,Wonderful!,"Audiobook Review
The Harry Potter books are my all time favorite read and the books that turned me into a bibliophile. I've seen the movies countless times and read the books several times, but I have never listened to the audio books, until now. I have been very hesitant to listen to any audio books until recently and even still, I was nervous to listen to Harry Potter in audio. I was afraid the audio experience wouldn't be one I enjoyed and wouldn't do the books justice.
I was so happy to find out I was wrong after listening to the Sorcerer's Stone. Jim Dale did an outstanding job with the narration. I was seriously surprised that one person did so many unique and different voices throughout the story. It didn't feel like I was being read to at all, but instead like I was watching a movie and experiencing the story.",,29 de enero de 2019,Estados Unidos,5
Judi,Disappointing audible version,"Disappointed with audible version.
I've been reading ther book with my 7 year old grandson and decided to try thre audible for days I don't feel up to reading a chapter.
We're both disappointed with the voice and inflection. Granted we've only tried 2 chapters so far, but it has been disappointing. I expected more emotion, excitement. I will probably cancel audible.",,2 de febrero de 2021,Estados Unidos,3
Thomas,,,,,,
Jacqueline,Not a fan of Jim Dale's Narration,"I am revisiting this childhood favorite 14 years from my discovery of the enchanting world of wizards and muggles. J.K Rowling is an astonishing story teller and character mapper. I give this 3 stars for the Audible version, as Jim Dale is a poor narrator. All of his character voices from Harry to goblins to Dumbledore to Malfoy all sound generally the same, the only ""impressive""/passable one being that of Hagrid; his weakness truly lies in female character voices. I'm looking forward to revisiting this series, but not via Dale's narration. I much would have preferred JK's narration.",,4 de mayo de 2020,Estados Unidos,3
